"COUNTRY","PUBLICATIONS"
"Spain","87"
"United States","39"
"Portugal","21"
"Germany","17"
"Italy","16"
"United Kingdom","16"
"Australia","13"
"Malaysia","13"
"Brazil","12"
"Mexico","12"
"Turkey","12"
"Ecuador","11"
"China","10"
"Sweden","8"
"Colombia","7"
"Peru","7"
"Canada","6"
"Hong Kong","6"
"India","6"
"Netherlands","6"
"France","5"
"Greece","5"
"Ireland","5"
"South Korea","5"
"Austria","4"
"Denmark","4"
"Finland","4"
"Indonesia","4"
"Iran","4"
"Japan","4"
"New Zealand","4"
"Russian Federation","4"
"Singapore","4"
"South Africa","4"
"Chile","3"
"Cyprus","3"
"Taiwan","3"
"Thailand","3"
"Viet Nam","3"
"Czech Republic","2"
"Estonia","2"
"Iraq","2"
"Poland","2"
"Romania","2"
"Saudi Arabia","2"
"Slovenia","2"
"Switzerland","2"
"Ukraine","2"
"Algeria","1"
"Belgium","1"
"Bosnia and Herzegovina","1"
"Croatia","1"
"Egypt","1"
"Guatemala","1"
"Hungary","1"
"Israel","1"
"Jamaica","1"
"Jordan","1"
"Luxembourg","1"
"Morocco","1"
"Mozambique","1"
"Oman","1"
"Palestine","1"
"Philippines","1"
"Slovakia","1"
"Trinidad and Tobago","1"
"United Arab Emirates","1"
"Uruguay","1"
"Uzbekistan","1"
"Venezuela","1"
