"AFFILIATIONS","PUBLICATIONS"
"European Regional Development Fund","12"
"European Commission","9"
"Ministerio de Economía y Competitividad","4"
"Conselho Nacional de Desenvolvimento Científico e Tecnológico","3"
"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","3"
"Horizon 2020 Framework Programme","3"
"Ministerio de Ciencia, Innovación y Universidades","3"
"Universidad Rey Juan Carlos","3"
"Universidad de Málaga","3"
"Agencia Estatal de Investigación","2"
"Federación Española de Enfermedades Raras","2"
"Fundação de Amparo à Pesquisa do Estado de São Paulo","2"
"Junta de Extremadura","2"
"Kazan Federal University","2"
"Ministry of Science, ICT and Future Planning","2"
"National Center for Advancing Translational Sciences","2"
"National Institutes of Health","2"
"National Research Foundation of Korea","2"
"Novus International","2"
"Universidad Politécnica de Madrid","2"
"Universiti Teknologi Malaysia","2"
"Akademia Górniczo-Hutnicza im. Stanislawa Staszica","1"
"American Society of Heating, Refrigerating and Air-Conditioning Engineers","1"
"Centro Singular de Investigación de Galicia","1"
"Comisión Nacional de Investigación Científica y Tecnológica","1"
"Consejo Nacional de Ciencia y Tecnología","1"
"Corporation for National and Community Service","1"
"Deutscher Akademischer Austauschdienst","1"
"European Institute of Innovation and Technology","1"
"European Social Fund","1"
"Foundation for Ichthyosis and Related Skin Types","1"
"Francis A. Countway Library of Medicine","1"
"Fundação para a Ciência e a Tecnologia","1"
"General Motors of Canada","1"
"Harvard Catalyst","1"
"Harvard University","1"
"Health Services Research and Development","1"
"Hellenic Foundation for Research and Innovation","1"
"Henan Province Science and Technology Innovation Talent Program","1"
"Hong Kong Baptist University","1"
"Instituto Tecnológico y de Estudios Superiores de Monterrey","1"
"International Business Machines Corporation","1"
"International Visegrad Fund","1"
"Javna Agencija za Raziskovalno Dejavnost RS","1"
"Korean Institute of Criminology","1"
"Kultúrna a Edukacná Grantová Agentúra MŠVVaŠ SR","1"
"Laurea University of Applied Sciences","1"
"Loblaw Companies Limited","1"
"MCubed, University of Michigan","1"
"Mayo Clinic","1"
"Metabolic Support UK","1"
"Ministerstwo Edukacji i Nauki","1"
"Ministry of Culture, Sports and Tourism","1"
"Ministry of Health","1"
"Ministry of Health -Singapore","1"
"Ministry of Higher Education, Malaysia","1"
"Ministry of Science ICT and Future Planning","1"
"Mälardalens högskola","1"
"National Cancer Institute","1"
"National Center for Research Resources","1"
"National Institute on Disability, Independent Living, and Rehabilitation Research","1"
"National Medical Research Council","1"
"National Natural Science Foundation of China","1"
"National Office for Philosophy and Social Sciences","1"
"National Science Foundation","1"
"National University of Singapore","1"
"Natural Science Foundation of Hunan Province","1"
"Open University","1"
"Politecnico di Milano","1"
"Secretaría de Educación Superior, Ciencia, Tecnología e Innovación","1"
"Society of American Gastrointestinal and Endoscopic Surgeons","1"
"State of New Jersey Department of Education","1"
"TU Graz, Internationale Beziehungen und Mobilitätsprogramme","1"
"Technische Universität Ilmenau","1"
"U.S. Department of Energy","1"
"U.S. Department of Health and Human Services","1"
"Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii","1"
"Universidad Autónoma de Occidente","1"
"Universidad Internacional de La Rioja","1"
"Universidad Nacional de San Agustin de Arequipa","1"
"Universidad Politécnica Salesiana del Ecuador","1"
"Universidad Técnica de Ambato","1"
"Universidad de Almería","1"
"Universidad de Murcia","1"
"Universidade Tecnológica Federal do Paraná","1"
"Universitat de Barcelona","1"
"Universiti Kebangsaan Malaysia","1"
"Universiti Teknikal Malaysia Melaka","1"
"University of Edinburgh","1"
"University of Liverpool","1"
"University of the Aegean","1"
"Università degli Studi di Firenze","1"
"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie","1"
"VINNOVA","1"
"Woosong University","1"
"Xunta de Galicia","1"
